Order Number,Pickup Node,Packing Station,Order Generated Time,Completed Mode 1,Completed Mode 2
1,6,43,1900-01-01 08:00:26,1900-01-01 08:01:37.000691,1900-01-01 08:01:23.881495
1,10,43,1900-01-01 08:00:26,1900-01-01 08:01:37.000691,1900-01-01 08:00:59.395522
1,18,43,1900-01-01 08:00:26,1900-01-01 08:01:37.000691,1900-01-01 08:01:19.493497
1,20,43,1900-01-01 08:00:26,1900-01-01 08:01:37.000691,1900-01-01 08:00:40.000286
1,22,43,1900-01-01 08:00:26,1900-01-01 08:01:37.000691,1900-01-01 08:01:04.855713
1,32,43,1900-01-01 08:00:26,1900-01-01 08:01:37.000691,1900-01-01 08:00:46.918311
1,39,43,1900-01-01 08:00:26,1900-01-01 08:01:37.000691,1900-01-01 08:00:52.516095
1,47,43,1900-01-01 08:00:26,1900-01-01 08:01:37.000691,1900-01-01 08:01:10.636626
2,6,7,1900-01-01 08:00:57,1900-01-01 08:01:53.000310,1900-01-01 08:01:16.651094
2,11,7,1900-01-01 08:00:57,1900-01-01 08:01:53.000310,1900-01-01 08:01:20.392815
2,14,7,1900-01-01 08:00:57,1900-01-01 08:01:53.000310,1900-01-01 08:01:07.000286
2,41,7,1900-01-01 08:00:57,1900-01-01 08:01:53.000310,1900-01-01 08:01:25.406424
2,52,7,1900-01-01 08:00:57,1900-01-01 08:01:53.000310,1900-01-01 08:01:29.202602
3,9,37,1900-01-01 08:01:33,1900-01-01 08:02:02.000405,1900-01-01 08:01:57.321903
3,32,37,1900-01-01 08:01:33,1900-01-01 08:02:02.000405,1900-01-01 08:01:50.526972
3,50,37,1900-01-01 08:01:33,1900-01-01 08:02:02.000405,1900-01-01 08:01:43.000310
4,4,43,1900-01-01 08:02:01,1900-01-01 08:03:15.000310,1900-01-01 08:02:59.511113
4,12,43,1900-01-01 08:02:01,1900-01-01 08:03:15.000310,1900-01-01 08:02:49.690411
4,21,43,1900-01-01 08:02:01,1900-01-01 08:03:15.000310,1900-01-01 08:02:22.273605
4,22,43,1900-01-01 08:02:01,1900-01-01 08:03:15.000310,1900-01-01 08:02:39.363617
4,38,43,1900-01-01 08:02:01,1900-01-01 08:03:15.000310,1900-01-01 08:02:10.000215
4,40,43,1900-01-01 08:02:01,1900-01-01 08:03:15.000310,1900-01-01 08:02:15.425432
4,46,43,1900-01-01 08:02:01,1900-01-01 08:03:15.000310,1900-01-01 08:02:28.790111
4,53,43,1900-01-01 08:02:01,1900-01-01 08:03:15.000310,1900-01-01 08:02:55.242512
4,54,43,1900-01-01 08:02:01,1900-01-01 08:03:15.000310,1900-01-01 08:02:33.856504
5,3,7,1900-01-01 08:02:30,1900-01-01 08:03:39.001001,1900-01-01 08:02:52.601095
5,12,7,1900-01-01 08:02:30,1900-01-01 08:03:39.001001,1900-01-01 08:02:58.979816
5,17,7,1900-01-01 08:02:30,1900-01-01 08:03:39.001001,1900-01-01 08:03:04.306377
5,20,7,1900-01-01 08:02:30,1900-01-01 08:03:39.001001,1900-01-01 08:02:43.000310
5,27,7,1900-01-01 08:02:30,1900-01-01 08:03:39.001001,1900-01-01 08:03:04.691682
5,30,7,1900-01-01 08:02:30,1900-01-01 08:03:39.001001,1900-01-01 08:03:13.208881
5,54,7,1900-01-01 08:02:30,1900-01-01 08:03:39.001001,1900-01-01 08:03:24.984830
6,8,37,1900-01-01 08:03:03,1900-01-01 08:04:08.000286,1900-01-01 08:03:28.906604
6,10,37,1900-01-01 08:03:03,1900-01-01 08:04:08.000286,1900-01-01 08:04:04.463091
6,22,37,1900-01-01 08:03:03,1900-01-01 08:04:08.000286,1900-01-01 08:03:32.748004
6,24,37,1900-01-01 08:03:03,1900-01-01 08:04:08.000286,1900-01-01 08:03:41.894006
6,30,37,1900-01-01 08:03:03,1900-01-01 08:04:08.000286,1900-01-01 08:03:48.273132
6,34,37,1900-01-01 08:03:03,1900-01-01 08:04:08.000286,1900-01-01 08:03:17.000286
